STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        403;20230312;-999;-999;-999;   10;   1.3;   8;    5.600;   0;   5.9;   5.4; 1000.20;    2.8;   73.00;    6.3;   -1.0;   -3.4;eor
        403;20230313;-999;-999;-999;   10;   2.8;   6;    2.100;   0;   7.3;  10.5;  989.10;   10.9;   81.00;   16.3;    5.8;    5.1;eor
        403;20230314;-999;-999;-999;   10;   8.1;   8;    1.900;   0;   5.8;   8.6;  984.80;    8.8;   76.00;   14.3;    1.0;   -0.8;eor
        403;20230315;-999;-999;-999;   10;   0.0;   8;    4.800;   0;   2.8;   5.4; 1004.60;    2.3;   76.00;    7.1;   -1.2;   -3.9;eor
        403;20230316;-999;-999;-999;   10;   0.0;   0;   10.900;   0;   3.1;   4.4; 1011.50;    4.1;   59.00;   10.3;   -3.0;   -5.4;eor
        403;20230317;-999;-999;-999;   10;   0.0;   0;    6.600;   0;   6.5;   5.4; 1004.20;    8.4;   49.00;   14.1;    3.2;    0.1;eor
        403;20230318;-999;-999;-999;   10;   4.0;   6;    6.800;   0;   6.1;   8.2; 1002.50;   11.4;   60.00;   18.1;    6.5;    1.5;eor
        403;20230319;-999;-999;-999;   10;   2.7;   6;    2.600;   0;   6.8;   9.9; 1005.20;   10.5;   79.00;   16.1;    5.8;    2.5;eor
        403;20230320;-999;-999;-999;   10;   0.0;   6;    0.500;   0;   7.0;   9.6; 1007.00;    9.8;   80.00;   12.1;    8.0;    5.2;eor
        403;20230321;-999;-999;-999;   10;   1.0;   6;    0.000;   0;   7.7;  10.0; 1005.30;    9.5;   84.00;   12.1;    7.0;    6.2;eor
        403;20230322;-999;-999;-999;   10;   1.0;   6;    5.200;   0;   6.7;   9.7;  999.50;   12.3;   71.00;   17.3;    7.9;    5.0;eor
        403;20230323;-999;-999;-999;   10;   3.8;   6;    2.200;   0;   6.8;  10.6;  996.00;   11.9;   77.00;   16.8;    8.3;    5.0;eor
        403;20230324;-999;-999;-999;   10;   1.4;   6;    1.800;   0;   6.2;  10.3;  992.70;   12.2;   73.00;   16.4;    8.1;    3.9;eor
        403;20230325;-999;-999;-999;   10;   7.2;   6;    4.600;   0;   6.3;   9.3;  992.70;    9.4;   80.00;   13.4;    7.1;    4.7;eor
        403;20230326;-999;-999;-999;   10;   0.0;   6;    2.600;   0;   7.0;   8.1;  993.30;    8.0;   75.00;   11.0;    4.3;    3.1;eor
        403;20230327;-999;-999;-999;   10;   1.0;   8;    6.600;   0;   4.8;   5.5; 1002.30;    3.4;   72.00;    6.9;    0.9;   -0.6;eor
