date,t_ave,t_max,t_min
2023-03-13,10.9,16,6
2023-03-14,8.8,14.3,0.1
2023-03-15,1.8,7.1,-2.6
2023-03-16,3.6,9.7,-3.7
2023-03-17,8.3,13.8,2.8
2023-03-18,11.3,18.4,5.9
2023-03-19,10.5,16.1,5.5
2023-03-20,9.5,12.7,7.1
2023-03-21,9.3,12.2,6.5
2023-03-22,12.1,17.1,7
2023-03-23,12.1,16.7,8.5
2023-03-24,12,16.2,7.6
2023-03-25,9.5,14,6.5
2023-03-26,8.2,11.3,4.4
2023-03-27,3.3,7.3,0.9
2023-03-28,3.2,7.8,-0.2
2023-03-29,6.1,10.5,-0.3
2023-03-30,11,18.5,7.8
2023-03-31,10.4,14.5,8.4
2023-04-01,7.6,11.2,2.8
2023-04-02,4.1,8.7,0.4
2023-04-03,2.3,5.3,-0.7
2023-04-04,2.7,7,-2.8
2023-04-05,3,8.5,-3.5
2023-04-06,5.3,11.4,-1
2023-04-07,3.8,6.4,-0.5
2023-04-08,7,12.5,1.7
2023-04-09,6.5,13.7,-1.7
2023-04-10,9.5,16.4,-0.3
2023-04-11,8.4,13.1,1.7
2023-04-12,8.3,15.2,-0.2
2023-04-13,9.3,14,5.1
2023-04-14,7.8,8.6,6.5
2023-04-15,9.5,10.9,8
2023-04-16,9.3,11.1,7.3
2023-04-17,7,9.4,5.4
2023-04-18,8.6,13.5,4.3
2023-04-19,7,12,3.3
2023-04-20,9.5,15.9,5.2
2023-04-21,14,20,8.1
2023-04-22,15,21.9,5.8
2023-04-23,13.2,17.7,9.2
2023-04-24,12.4,17.9,6.4
2023-04-25,7.9,10.8,3.2
2023-04-26,6.1,10.5,1.3
2023-04-27,7.2,11.7,0.9
2023-04-28,9.8,15.8,0.4
2023-04-29,11.4,14.6,8.1
2023-04-30,9.1,14.9,3.1
2023-05-01,12,19.1,2.1
2023-05-02,11.3,15.3,8.1
2023-05-03,10.1,15.5,4.7
2023-05-04,12.3,19.3,3.2
2023-05-05,14.1,20.9,7.3
2023-05-06,8.2,9.5,7.4
2023-05-07,10.9,16.1,6
2023-05-08,11.3,18,3.4
2023-05-09,13.8,19,7.7
2023-05-10,15.7,22.5,9.4
2023-05-11,16.5,22.4,8.6
2023-05-12,17,22.5,10.3
2023-05-13,15.7,22.2,9.8
2023-05-14,14.7,21.1,8.2
2023-05-15,13.8,21,6.1
2023-05-16,12,16,5.9
2023-05-17,10.7,15.9,3.7
2023-05-18,11.9,17,6.4
2023-05-19,13,19,5.8
2023-05-20,14.6,19.9,8.9
2023-05-21,20.6,27.7,12.2
2023-05-22,20.4,25.8,14.8
2023-05-23,15.2,21.3,9.3
2023-05-24,11.3,16,7.9
2023-05-25,14.6,20.3,6
2023-05-26,14.8,20.4,6.5
2023-05-27,14.8,21.5,6
2023-05-28,16.7,24.2,5.9
2023-05-29,16.6,22.2,9.7
2023-05-30,16.4,22.7,7
2023-05-31,18,25.6,9.3
2023-06-01,16.6,22.5,11.3
2023-06-02,13.9,19.9,7.7
2023-06-03,13.7,20.3,5.3
2023-06-04,16.1,23.6,5.1
2023-06-05,19.3,26.3,9.4
2023-06-06,19.3,23.5,13.9
2023-06-07,23.1,29,16.6
2023-06-08,23.4,30,16.8
2023-06-09,22.7,29.7,14.6
2023-06-10,21.9,29.4,13.9
2023-06-11,21.1,28,13.3
2023-06-12,20.3,26.3,12.5
2023-06-13,17.9,24.1,11.3
2023-06-14,17.5,24.4,9.9
2023-06-15,18,23.3,14.9
2023-06-16,16.1,20.7,13.1
2023-06-17,16.6,21.3,12.8
2023-06-18,20,27,10.8
2023-06-19,21.9,28.5,15.1
2023-06-20,21.7,25.8,17.4
2023-06-21,24,29.2,18.9
2023-06-22,23.3,28.9,17.1
2023-06-23,17.4,18.4,15.7
2023-06-24,19.9,25.6,14.8
2023-06-25,21.9,27.4,15
2023-06-26,22.1,31.5,16.5
2023-06-27,16.7,21.3,13
2023-06-28,18.4,23.7,12.7
2023-06-29,20.3,25.6,12.1
2023-06-30,19.4,21.9,16.4
2023-07-01,19.6,25.3,15.6
2023-07-02,18.5,22.9,13.5
2023-07-03,17.8,22.3,13.2
2023-07-04,18.7,23.2,12.9
2023-07-05,19,25.1,12.6
2023-07-06,17.6,23.2,11.2
2023-07-07,20.7,28.1,9.8
2023-07-08,23.5,31,13.5
2023-07-09,24.4,31.7,14.8
2023-07-10,23.2,29.5,17.7
2023-07-11,23.5,29.8,14
2023-07-12,24.1,28.7,17.1
2023-07-13,20.3,26.4,14.3
2023-07-14,20.2,27.3,12.8
2023-07-15,25.9,35.4,15.9
2023-07-16,23.2,28.2,16.9
2023-07-17,21.8,27.7,13.7
2023-07-18,18.7,25.8,11.9
2023-07-19,19.7,26.6,11.8
2023-07-20,18,23.2,13.1
2023-07-21,15.8,20.9,9.2
2023-07-22,17.3,22.5,12.1
2023-07-23,20.6,28.2,15
2023-07-24,21.6,30,14.9
2023-07-25,17.6,21.1,14.5
2023-07-26,16,20.7,11.2
2023-07-27,15.6,20,10.6
2023-07-28,19.2,24,16.2
2023-07-29,19.2,25.4,14.1
2023-07-30,18.8,24.6,14.2
2023-07-31,17.9,21.9,14.4
2023-08-01,17.9,22.6,15.2
2023-08-02,18.9,22.8,14.8
2023-08-03,19.1,23.6,15.6
2023-08-04,18.9,23.2,14.3
2023-08-05,17.7,21.8,12.5
2023-08-06,15.9,17.5,13.7
2023-08-07,16.2,20.4,13.2
2023-08-08,14.8,20,11.6
2023-08-09,15.4,20.3,11.2
2023-08-10,15.9,21.8,9.1
2023-08-11,18.6,25.1,9.6
2023-08-12,21.6,28.5,15.4
2023-08-13,21.8,26.7,17.3
2023-08-14,22.6,30.3,15.8
2023-08-15,24.6,31.1,17.9
2023-08-16,23.6,28.2,19.5
2023-08-17,22,27.1,17.7
2023-08-18,24,29.8,18.4
2023-08-19,25.2,32.9,18.4
2023-08-20,24.6,29.1,20
2023-08-21,23,27.6,18
2023-08-22,21,26.2,14.3
2023-08-23,20.7,27,13.7
2023-08-24,21.8,28.4,14
2023-08-25,22.8,28.5,18.3
2023-08-26,20.2,26.7,15.5
2023-08-27,16.9,20.9,12.8
2023-08-28,15.9,19.8,11.6
2023-08-29,15.1,17.5,14
2023-08-30,16,20.6,12.9
2023-08-31,14.3,18.8,10.9
2023-09-01,15.5,21,8.4
2023-09-02,16.3,22.3,9.7
2023-09-03,17.1,21.6,12
2023-09-04,18.3,26,11.2
2023-09-05,20.4,28.1,13.5
2023-09-06,20.7,29.2,12.2
2023-09-07,21.4,29.2,13.8
2023-09-08,21.2,29.2,13.2
2023-09-09,21.4,30.6,13.2
2023-09-10,21.6,31.3,11.8
2023-09-11,22,31.1,13
2023-09-12,22.3,30.3,13.8
2023-09-13,18.8,23.8,14.7
2023-09-14,15.3,21,8.8
2023-09-15,16,23.6,8.4
2023-09-16,18.1,26.8,10.1
2023-09-17,19.9,27.9,11.3
2023-09-18,21,27.8,15.6
2023-09-19,18.1,21.4,14.8
2023-09-20,19.1,25.8,14.4
2023-09-21,20.7,29.1,12.9
2023-09-22,16.4,18.3,13.4
2023-09-23,14.5,19.3,9.5
2023-09-24,13.6,20.2,8.4
2023-09-25,14.7,22.2,7.8
2023-09-26,16.8,24.8,10.4
2023-09-27,18.8,27,11.2
2023-09-28,19.3,27.2,13.1
2023-09-29,18.9,23.3,11
2023-09-30,15,20.7,10.5
2023-10-01,16,21.3,11.9
2023-10-02,19.9,26.2,13.9
2023-10-03,17.8,26.4,11.8
2023-10-04,14.1,17.7,11.1
2023-10-05,12.4,17.5,8.7
2023-10-06,15.1,18.7,10.2
2023-10-07,15.6,18.4,10.7
2023-10-08,12,15.8,9.5
2023-10-09,9.9,11,8.6
2023-10-10,13.9,17.1,10.1
2023-10-11,18.9,23.8,13.9
2023-10-12,14.8,19.8,12.2
2023-10-13,17.7,22.3,12.7
2023-10-14,14.4,20.5,7.3
2023-10-15,8.2,11.7,5.4
2023-10-16,6.6,11.6,2.5
2023-10-17,6.9,12,0.8
2023-10-18,5.6,12.5,-1
2023-10-19,6.6,7.3,5.5
2023-10-20,6,6.9,4.9
2023-10-21,11.5,19.3,6.6
2023-10-22,12.7,17.5,10
2023-10-23,10.6,16.6,6.6
2023-10-24,11.2,13.5,8.6
2023-10-25,10.7,13.9,8.5
2023-10-26,9.8,10.6,9.3
2023-10-27,9.3,10.1,8.6
2023-10-28,10.1,12.1,8.6
2023-10-29,11.9,15.4,8.5
