STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        427;20230313;   10;  16.8;   7.5;    9;   2.2;   4;    1.900;-999;  -999;  10.6;  993.10;   10.9;   81.00;   16.0;    6.0;    5.0;eor
        427;20230314;   10;  19.7;   7.6;    9;   5.4;   4;    1.900;-999;  -999;   8.8;  988.60;    8.8;   77.00;   14.3;    0.1;   -1.7;eor
        427;20230315;   10;  11.8;   4.8;    9;   0.0;   4;    4.100;-999;  -999;   5.2; 1008.50;    1.8;   76.00;    7.1;   -2.6;   -5.2;eor
        427;20230316;   10;   9.3;   3.5;    9;   0.0;   0;   10.500;-999;  -999;   4.3; 1015.60;    3.6;   59.00;    9.7;   -3.7;   -6.3;eor
        427;20230317;   10;  10.3;   5.7;    9;   0.0;   0;    4.400;-999;  -999;   5.3; 1008.40;    8.3;   49.00;   13.8;    2.8;    1.1;eor
        427;20230318;   10;   8.2;   3.4;    9;   0.0;   0;    7.400;-999;  -999;   8.0; 1006.50;   11.3;   59.00;   18.4;    5.9;    2.6;eor
        427;20230319;   10;   9.4;   2.8;    9;   2.6;   4;    1.100;-999;  -999;   9.4; 1009.00;   10.5;   74.00;   16.1;    5.5;    2.9;eor
        427;20230320;   10;  10.5;   3.5;    9;   0.0;   4;    0.300;-999;  -999;   9.8; 1010.80;    9.5;   82.00;   12.7;    7.1;    4.4;eor
        427;20230321;   10;   6.7;   3.1;    9;   0.7;   4;    0.000;-999;  -999;   9.9; 1009.20;    9.3;   84.00;   12.2;    6.5;    5.9;eor
        427;20230322;   10;  13.2;   5.0;    9;   0.1;   4;    5.000;-999;  -999;  10.2; 1003.40;   12.1;   74.00;   17.1;    7.0;    5.1;eor
        427;20230323;   10;  14.4;   5.7;    9;   2.7;   4;    1.400;-999;  -999;  10.4;  999.90;   12.1;   74.00;   16.7;    8.5;    4.9;eor
        427;20230324;   10;  17.3;   6.0;    9;   0.9;   4;    1.200;-999;  -999;  10.8;  996.60;   12.0;   77.00;   16.2;    7.6;    5.0;eor
        427;20230325;   10;  19.7;   7.2;    9;  10.6;   4;    3.600;-999;  -999;   9.2;  996.60;    9.5;   78.00;   14.0;    6.5;    5.0;eor
        427;20230326;   10;  13.0;   5.5;    9;   0.0;   4;    1.700;-999;  -999;   8.1;  997.00;    8.2;   75.00;   11.3;    4.4;    3.7;eor
        427;20230327;   10;  15.6;   6.0;    9;   2.0;   4;    4.900;-999;  -999;   5.3; 1006.00;    3.3;   70.00;    7.3;    0.9;   -1.2;eor
        427;20230328;   10;  15.6;   5.8;    9;   0.0;   4;    8.500;-999;  -999;   4.6; 1015.50;    3.2;   63.00;    7.8;   -0.2;   -3.0;eor
